SIC	YEAR	EMP	PAY	PRODE	PRODH	PRODW	VSHIP	MATCOST	VADD	INVEST	INVENT	ENERGY	CAP	EQUIP	PLANT	PISHIP	PIMAT	PIINV	PIEN	DTFP5	TFP5	DTFP4	TFP4
2011	58	200.9	1067.8	150.8	309.1	767.7	11950.7	10230.1	1748.6	65.9	408.1	47.9	3575.5	1690.8	1884.7	0.403	0.343	0.246	0.213	0	0.84317	0	0.84304
2011	59	197.2	1101	149.7	312.5	796.9	11788.4	9939.1	1833.2	67.4	370.1	49.4	3717.8	1750.7	1967.1	0.372	0.321	0.249	0.211	0.0329	0.87137	0.0329	0.87123
2011	60	194.2	1138.6	147.8	312.7	826.2	11806.2	9890.8	1910.7	77.2	381.6	50.9	3883.3	1827.4	2055.9	0.36	0.326	0.252	0.218	0.04917	0.91529	0.04914	0.91511
2011	61	189.3	1143.2	143.4	302.8	827.4	11916.8	10047.3	1889.2	75.4	395.3	52.4	4023.8	1892.9	2130.9	0.357	0.318	0.252	0.213	-0.01608	0.90069	-0.01611	0.90049
2011	62	185.6	1161.1	141.7	298	844.6	12468.3	10508.8	1986.1	90.8	411.1	53.9	4211.6	1961.8	2249.8	0.368	0.328	0.255	0.216	0.00254	0.90298	0.00254	0.90278
2011	63	180.9	1146.4	138.4	289.2	846.3	12412.6	10507.3	1909	80.2	407.8	58.8	4422.2	2062.7	2359.5	0.343	0.316	0.26	0.216	0.03441	0.9346	0.0343	0.93428
2011	64	182.7	1226.1	138.6	310	901.9	12950.8	10835.9	2128.1	94.8	415.9	61.5	4554.8	2122.6	2432.2	0.335	0.307	0.264	0.213	0.0082	0.94229	0.0082	0.94197
2011	65	179.8	1210.1	136.9	285.8	882.4	13882.5	11852.1	2057.2	101.4	435.6	64.2	4812.1	2246.4	2565.7	0.375	0.345	0.269	0.211	-0.01768	0.92578	-0.01788	0.92528
2011	66	173.4	1207.1	132	278.1	879.7	15011.8	13015.1	2022.5	104.2	451.2	67	4960.5	2341.3	2619.2	0.407	0.38	0.278	0.212	-0.00017	0.92562	-0.0003	0.925
2011	67	170.6	1258.7	130.9	274.3	920.8	15553.7	13329.5	2222.9	109.4	478	69.8	5168.8	2425.9	2742.9	0.386	0.363	0.289	0.205	0.02779	0.95171	0.02777	0.95105
2011	68	168.5	1317.4	129.2	271.6	992.1	16260.9	13845.7	2445.8	109.4	512.3	72.7	5267.5	2471.8	2795.7	0.393	0.378	0.303	0.204	0.02838	0.97911	0.02821	0.97826
2011	69	166.8	1380.4	128.6	267.6	1016	17940.2	15510.2	2451.6	135.6	524.2	75.7	5516.4	2568.7	2947.7	0.438	0.417	0.318	0.206	-0.02468	0.95523	-0.02475	0.95435
2011	70	163.6	1451.6	126.3	266.5	1076.3	18408.1	15711.1	2668.7	154.4	460.9	78.7	5759.5	2670.5	3089	0.445	0.415	0.336	0.215	-0.00738	0.94821	-0.00729	0.94741
2011	71	160.9	1503.3	124.7	260.6	1120.9	18802.4	15785.4	3046	162.4	494.4	81.8	5943.4	2761.8	3181.6	0.449	0.416	0.357	0.229	0.0979	0.95754	0.09891	0.95683
2011	72	157.5	1532.1	123.4	254.4	1148.4	23003.4	20120.1	2968.1	167.7	555.9	75.5	6165.4	2870.2	3295.2	0.506	0.487	0.373	0.245	0.00832	0.96554	0.00912	0.96559
2011	73	149.4	1534.7	116.1	240.1	1147	27311.5	24073.3	3954.7	182.2	681.7	79.8	6344.7	2975.2	3369.5	0.646	0.637	0.388	0.264	0.0072	0.97252	0.00694	0.97232
2011	74	159.2	1768.9	124.8	260.7	1341.4	28834.6	25090.7	3680.6	216	662.3	111.6	6619.3	3146.3	3473	0.637	0.589	0.432	0.341	-0.04359	0.93103	-0.04345	0.93098
2011	75	160.1	1918.4	126.1	257.1	1468	31341.8	27225.6	4190.6	248.4	741.8	143.6	6798.6	3275.8	3522.8	0.742	0.653	0.496	0.445	-0.05153	0.88427	-0.05155	0.8842
2011	76	156.7	2085.2	124.1	257	1608.6	32392.6	27977	4350.7	210.6	676.8	152.9	6981.9	3384.8	3597.1	0.667	0.608	0.528	0.517	0.05257	0.932	0.05285	0.93218
2011	77	146.2	2110.6	116.5	237.2	1625.9	31208.2	27239.1	4010.1	236.7	700.1	171.5	7147.4	3506	3641.4	0.678	0.611	0.573	0.595	-0.02217	0.91156	-0.02218	0.91174
2011	78	147.3	2244.1	119.5	243.3	1747.6	38198.7	33963.5	4411.1	230.9	892.5	193.7	7224.3	3546.7	3677.6	0.83	0.808	0.621	0.673	0.05081	0.95907	0.05077	0.95923
2011	79	146.5	2419.6	117.5	241.3	1887.4	43191.3	38073.1	5156.1	234.8	964.6	225	7225.5	3550.9	3674.6	0.938	0.967	0.681	0.755	0.05838	101673	0.05825	101676
2011	80	142.9	2553	114.9	238.8	1984.4	42962	37762.5	5260.4	299.7	996.5	261.1	7266.5	3586.8	3679.7	0.926	0.927	0.754	0.901	-0.02191	0.99469	-0.02186	0.99478
2011	81	135.3	2585.7	108.4	225.1	2014.5	44570	39235.8	5292.3	330.3	908.8	280.2	7315.7	3611.2	3704.5	0.928	0.912	0.827	0.996	-0.01061	0.9842	-0.01062	0.98427
2011	82	134.9	2549.3	108.9	220.2	1995.9	44853.6	39048.6	5824.6	290	891.6	321.7	7337.9	3641.7	3696.2	0.958	0.952	0.869	1.09	0.01743	100151	0.0175	100165
