year	CODIGO	MUNICIPIO	pct_pob_pobre	exten_km2	pob_rural	pob_urb	pob_tot	part_urb	part_rural	densi	pob_mas	pob_com_May18	pob_fem	pob_est_INE	pob_com_May6	pob_com_May10	pea	pea_sec_prima	pea_sec_secun	pea_sec_ter	hog_sit_pobre	hog_sit_pobre2	muj_jefa_hogar	muj_jefa_hogar_pobre	muj_jefa_hogar_pobre2	totemp	totPYM	TotMicro	TotalGrande	part_PYM	part_Micro
2011	1101	IQUIQUE	14	2262	3794	182168	185962	97.95979824	2.040201762	82.21131742	90054	135903	95908	185962	170137	159875	68040	3835	3999	51154	17439	25843	22622	12722	16966	13174	3067	8498	345	23.28070442	64.50584485
2011	1107	ALTO HOSPICIO	19.9	573	0	93843	93843	100	0	163.7748691	46794	57551	47049	93843	81154	72956	18067	973	1245	12818	14601	20179	16007	11483	13986	2876	362	2348	13	12.58692629	81.64116829
2011	1401	POZO ALMONTE	12.6	13766	7461	9866	17327	56.94003578	43.05996422	1.258680808	11089	12631	6238	17327	15764	14802	4330	1258	257	2346	1107	1828	1151	609	864	581	106	446	6	18.2444062	76.76419966
2011	1402	CAMIÑA	15	2200	990	0	990	0	100	0.45	525	639	465	990	853	766	506	332	7	150	370	424	136	118	131	66	4	57	0	6.060606061	86.36363636
2011	1403	COLCHANE	36.9	4016	1630	0	1630	0	100	0.405876494	974	1279	656	1630	1500	1422	672	212	14	335	218	225	65	65	65	21	1	14	0	4.761904762	66.66666667
2011	1404	HUARA	10.1	10475	3370	0	3370	0	100	0.321718377	1798	2174	1572	3370	2918	2648	1105	459	33	535	398	546	259	165	210	117	6	102	1	5.128205128	87.17948718
2011	1405	PICA	14.1	8934	4335	14269	18604	76.69855945	23.30144055	2.082381912	15970	17129	2634	18604	18019	17696	4197	1243	212	2489	464	781	590	264	411	300	27	254	0	9	84.66666667
2011	2101	ANTOFAGASTA	7.2	30718	0	372973	372973	100	0	12.14183866	193878	265055	179095	372973	337064	314029	118375	10947	9081	86009	20974	33950	34419	15455	22271	16814	3838	10947	187	22.82621625	65.1064589
2011	2102	MEJILLONES	6.2	3804	442	10654	11096	96.01658255	3.983417448	2.916929548	5856	7847	5240	11096	9919	9221	3529	831	381	1897	726	1321	910	431	638	514	122	339	9	23.73540856	65.95330739
2011	2103	SIERRA GORDA	2.1	12886	3738	0	3738	0	100	0.29008226	2890	3235	848	3738	3509	3409	1757	772	109	775	104	168	183	80	115	91	21	66	2	23.07692308	72.52747253
2011	2104	TALTAL	11.2	20405	1813	8797	10610	82.91234684	17.08765316	0.519970595	5863	7559	4747	10610	9590	8914	4752	1515	288	2499	966	1677	1062	508	732	666	163	429	3	24.47447447	64.41441441
2011	2201	CALAMA	9.2	15597	1762	147022	148784	98.81573287	1.184267125	9.539270373	75677	102236	73107	148784	132923	122746	54428	8708	3556	36483	8910	14154	13193	6389	8923	7178	1332	4974	48	18.55670103	69.29506826
2011	2202	OLLAGÜE	5.3	2964	243	0	243	0	100	0.081983806	153	168	90	243	215	196	194	42	28	119	29	40	33	19	26	12	1	9	0	8.333333333	75
2011	2203	SAN PEDRO DE ATACAMA	5.7	23439	5659	3620	9279	39.01282466	60.98717534	0.395878664	5891	7549	3388	9279	8537	8158	2319	345	71	1708	616	953	847	413	584	533	87	429	0	16.32270169	80.48780488
2011	2301	TOCOPILLA	13	4039	1039	20289	21328	95.12846962	4.871530383	5.280514979	10428	15133	10900	21328	19296	17958	8445	934	522	5842	2813	4580	3176	1619	2319	1218	189	920	4	15.51724138	75.53366174
2011	2302	MARÍA ELENA	6.7	12197	61	3589	3650	98.32876712	1.671232877	0.299253915	2151	2675	1499	3650	3307	3096	3452	1188	297	1711	165	247	247	127	175	187	44	130	0	23.52941176	69.51871658
2011	3101	COPIAPÓ	18.4	16681	5002	158864	163866	96.94750589	3.052494111	9.82351178	82707	114552	81159	163866	147957	137513	48860	7641	2334	31846	12819	19873	13630	7378	10178	7436	1601	4868	64	21.53039268	65.46530393
2011	3102	CALDERA	16.4	4667	145	15072	15217	99.04711835	0.952881646	3.260552818	8080	10726	7137	15217	13744	12825	5345	1455	409	2740	2552	3424	2281	1486	1869	942	164	675	6	17.40976645	71.65605096
