macrozona	region	idregion	comuna	idcomuna	tipo	tamaño	inicios	esc	educ1%	educ2%	educ3%	desempleo%	robos	homicidios	pob_tot	exten_km2	pobre	ne	ventas	ntrab	remu	docentes_em	matl_em	colegios_em	salario	pea	emprendimiento
Norte	Tarapaca	1	Iquique	1101	urbano	5	1551	11.5	34.5	54.4	11.0	6.6	2347.0	10.0	186.0	2262.0	14.0	13.2	175.7	82.5	8.7	2190.0	13522.0	43.0	478.0	135.7	114.3122471
Norte	Tarapaca	1	Alto Hospicio	1107	rural	5	564	10.2	48.9	47.8	3.3	7.8	1130.0	7.0	93.8	573.0	20.0	2.9	8.6	8.4	0.7	980.0	6039.0	15.0	365.4	61.3	92.00652529
Norte	Tarapaca	1	Pozo Almonte	1401	rural	3	71	9.7	53.7	43.7	2.6	4.5	41.0	0.0	17.3	13766.0	13.0	0.6	32.9	4.5	1.2	157.0	755.0	1.0	360.7	13.0	54.65742879
Norte	Tarapaca	1	Camiña	1402	rural	1	8	5.2	82.6	16.7	0.8	0.0	0.0	0.0	1.0	2200.0	15.0	0.1	0.1	0.0	0.0	21.0	66.0	1.0	379.8	0.6	135.5932203
Norte	Tarapaca	1	Huara	1404	rural	1	25	8.9	54.9	41.7	3.4	4.7	1.0	0.0	3.4	10475.0	10.0	0.1	0.8	0.4	0.0	37.0	60.0	1.0	327.6	2.1	118.5395922
Norte	Tarapaca	1	Pica	1405	rural	3	26	9.2	51.5	40.7	7.8	7.7	10.0	0.0	18.6	8934.0	14.0	0.3	0.3	0.6	0.1	72.0	224.0	1.0	351.0	17.0	15.32025219
Norte	Antofagasta	2	Antofagasta	2101	urbano	5	1896	11.6	35.2	52.7	12.1	10.9	4012.0	19.0	373.0	30718.0	7.0	16.9	292.5	121.5	23.5	3214.0	23448.0	44.0	557.9	269.1	70.44739296
Norte	Antofagasta	2	Mejillones	2102	rural	2	72	10.0	50.0	45.2	4.8	17.2	67.0	0.0	11.1	3804.0	6.0	0.5	11.5	2.1	0.4	107.0	409.0	1.0	417.0	8.0	89.83156581
Norte	Antofagasta	2	Sierra Gorda	2103	rural	1	19	9.4	47.1	50.0	2.9	13.3	2.0	0.0	3.7	12886.0	2.0	0.1	5.8	0.9	0.5	12.0	0.0	0.0	418.2	3.3	58.42558426
Norte	Antofagasta	2	Taltal	2104	rural	2	62	10.3	43.0	47.0	10.0	11.1	20.0	2.0	10.6	20405.0	11.0	0.7	161.9	2.4	0.5	120.0	772.0	2.0	641.9	7.5	82.62260128
Norte	Antofagasta	2	Calama	2201	urbano	5	740	10.9	40.6	49.3	10.1	9.5	1297.0	10.0	148.8	15597.0	9.0	7.2	60.2	41.4	7.0	1506.0	11507.0	25.0	518.1	105.1	70.44264636
Norte	Antofagasta	2	San Pedro de Atacama	2203	rural	2	59	9.4	55.2	36.0	8.8	11.8	30.0	0.0	9.3	23439.0	6.0	0.5	0.9	1.3	0.1	55.0	168.0	1.0	507.2	70.3	8.393916545
Norte	Antofagasta	2	Tocopilla	2301	rural	3	135	10.6	41.7	51.7	6.6	6.5	100.0	1.0	21.3	4039.0	13.0	1.2	24.3	4.3	0.9	238.0	1723.0	3.0	463.0	14.9	90.37354398
Norte	Antofagasta	2	María Elena	2302	rural	1	13	11.2	34.1	59.6	6.3	12.9	13.0	0.0	3.7	12197.0	7.0	0.2	0.7	1.4	0.2	53.0	311.0	1.0	421.7	2.8	46.84684685
Norte	Atacama	3	Copiapó	3101	urbano	5	657	10.6	41.7	49.5	8.8	9.1	1379.0	5.0	163.9	16681.0	18.0	7.5	129.4	59.3	10.4	1659.0	10884.0	22.0	460.7	116.1	56.59548442
Norte	Atacama	3	Caldera	3102	rural	2	96	10.5	38.5	53.6	7.8	8.6	132.0	0.0	15.2	4667.0	16.0	0.9	3.6	3.4	0.6	193.0	985.0	4.0	451.8	10.8	88.70818703
Norte	Atacama	3	Tierra Amarilla	3103	rural	2	70	9.5	52.0	44.8	3.2	12.3	36.0	1.0	13.9	11191.0	15.0	0.6	5.5	5.3	0.7	142.0	777.0	2.0	360.5	10.0	70.11217949
Norte	Atacama	3	Chañaral	3201	rural	2	66	10.1	45.5	49.9	4.6	6.9	64.0	1.0	12.7	5772.0	22.0	0.9	6.5	5.1	0.9	168.0	753.0	2.0	422.9	8.7	75.99309154
Norte	Atacama	3	Diego de Almagro	3202	rural	2	57	10.5	46.3	45.5	8.2	8.4	20.0	0.0	11.7	18664.0	10.0	0.7	5.5	4.4	1.0	229.0	1319.0	3.0	491.0	8.6	66.27906977
